ID;Fase;Prioridade;Tarefa;Estado;Responsavel;Dependencias;Validacao;Notas
0.1;Estado atual;Alta;Confirmar pendentes WebCatalogue atuais;Feito;;;Lista validada;Reconhecimento, OpenCV, fingerprints, 3D, frontend publico e operacao online
0.2;Estado atual;Alta;Confirmar endpoint OpenCV atual da VPS antiga;Pendente;;Acesso ao .env WebCatalogue;URL e token registados sem expor segredo;Atual: WEBCATALOGUE_RECOGNITION_OPENCV_BASE_URL aponta para VPS antiga
0.3;Estado atual;Media;Guardar snapshot da configuracao WebCatalogue antes da migracao;Pendente;;Acesso ao servidor web;Backup criado;Incluir .env sem publicar tokens
1.1;Migracao OpenCV Rise-S;Alta;Inventariar servico OpenCV na VPS antiga;Em curso;;Acesso VPS antiga;Endpoints, requirements, token, porta e versao documentados;Inventario local do repo feito. Falta confirmar VPS antiga antes de desligar
1.2;Migracao OpenCV Rise-S;Alta;Copiar codigo/config do microservico OpenCV para o Rise-S;Feito;;Inventario concluido;Repositorio/pasta criada no Rise-S;Copiado para /opt/lsg-ai-stack/services/webcatalogue-opencv
1.3;Migracao OpenCV Rise-S;Alta;Criar container Docker opencv-recognition;Feito;;Docker/Compose no Rise-S;Container sobe sem erro;Container webcatalogue-opencv ativo em 127.0.0.1:8010
1.4;Migracao OpenCV Rise-S;Alta;Instalar dependencias Python/OpenCV/pHash/ORB no container;Feito;;Dockerfile/base image;Import cv2 e dependencias OK;Build Docker concluido e health OK
1.5;Migracao OpenCV Rise-S;Alta;Manter endpoints compativeis com WebCatalogue;Feito;;Container OpenCV;Endpoints respondem 200;Health lista normalize, quality, markers, identifiers, compare-markers, compare-markers-batch
1.6;Migracao OpenCV Rise-S;Alta;Configurar token de acesso do servico OpenCV;Pendente;;Secrets Rise-S;Chamadas sem token falham;Nao expor token em logs
1.7;Migracao OpenCV Rise-S;Alta;Adicionar healthcheck do container OpenCV;Feito;;Container OpenCV;/health retorna ok;curl 127.0.0.1:8010/health OK
1.8;Migracao OpenCV Rise-S;Media;Configurar volumes/logs do servico OpenCV;Pendente;;Docker Compose;Logs persistem/rotacionam;Evitar encher disco
2.1;Gateway AI;Alta;Decidir rota publica final para WebCatalogue;Pendente;;Rise-S Gateway;URL definida;Recomendado: https://api-ai.lsg-labs.com
2.2;Gateway AI;Alta;Adicionar proxy/adaptador no FastAPI Gateway para /recognition/*;Feito;;Container OpenCV;Gateway encaminha para OpenCV;https://api-ai.lsg-labs.com/recognition/health responde com webcatalogue-opencv-recognition
2.3;Gateway AI;Alta;Aplicar autenticacao x-lsg-ai-token ou Bearer compativel;Feito;;Token definido;Chamadas autorizadas funcionam;Bearer token validado em /recognition/quality via Gateway
2.4;Gateway AI;Media;Normalizar resposta JSON do Gateway;Pendente;;Endpoints proxy;Inclui status, service, pipeline_version, result;Evitar quebrar formato legado enquanto migramos
2.5;Gateway AI;Media;Adicionar logs por request no Gateway;Pendente;;Gateway;Duração/status/endpoint registados;Nao gravar imagens nem tokens nos logs
2.6;Gateway AI;Media;Adicionar rate limits basicos;Pendente;;Gateway/Nginx;Limites aplicados;Proteger endpoints pesados
